jira_name,dim_component_name,team
REST Infrastructure,REST Infrastructure,Headless
REST infrastructure (vulcan),REST Infrastructure,Headless
RSS Publisher widget,RSS Publisher Widget,Content Management
Ratings,Ratings,Content Management
Recommendation,,Analytics Cloud
Recycle Bin,Recycle Bin,SE Support
SAML,SAML,Application Security
SCIM (System for Cross-domain Identity Management),SCIM,Application Security
Search Blueprints,Search Blueprints,Search
Search Experiences,Search Blueprints,Search
Search Infrastructure,Search Infrastructure,Search
Search Tuning,Search Blueprints,Search
Security HTTP Headers,Application Security,Application Security
Security Posture Management,Application Security,Application Security
Segmentation,Segmentation,Analytics Cloud
Segments,,SE Support
Server Administration,Server Administration,Core Infrastructure
Shopping Experience,Shopping Experience,Commerce
Site,Sites Administration,Analytics Cloud
Site Initializer,Site Management > Site Initializer,Site Management
Site Memberships,Sites Administration,Site Management
Sites,,SE Support
Sites Administration,Sites Administration,Site Management
Social Bookmarks,Social Bookmarks,Content Management
Solr Connector,Search Infrastructure > Solr Connector,Search
Staging,Staging,Headless
Store,,Commerce
Structured Content,Web Content,Content Management
Structured Contents,Web Content,SE Support
Style Books,Style Books,Page Management
Tags,Tags,SE Support
Test Infrastructure,,Analytics Cloud
Theme CSS,Frontend Client Extensions,Frontend Infrastructure
Translations Management,Translations Management,SE Support
Upgrade Logging,Upgrade Logging,Database Infrastructure
Upgrade Report,Upgrade Report,Database Infrastructure
User Management,User Management,Commerce
User Notifications,User Notifications,SE Support
Users & Organizations,Users and Organizations,Commerce
Utility Pages,Application Security,Application Security
Virtual Instances,Virtual Instances,Core Infrastructure
Web Content,Web Content,Content Management
Web Content Display widget,Web Content,Content Management
Web Search,Web Search,Search
Web Services,Web Services,SE Support
WebDAV Authentication,Application Security,Application Security
Widget Page Templates,Widget Page Templates,Content Management
Wiki,Wiki,Content Management
Workflow,Workflow,Business Process Management
