Modules Directory,testray.main.component,Team
modules/apps/flags,Page > Page Flags,Content Management
modules/apps/fragment,Fragment Administration,Page Management
modules/apps/friendly-url,Friendly URL Service,Site Management
modules/apps/frontend-css,Liferay Themes,Platform Experience
modules/apps/frontend-data-set,Frontend Data Set,Frontend Infrastructure
modules/apps/frontend-editor,Frontend Editor,Frontend Infrastructure
modules/apps/frontend-icons,Frontend Other,Frontend Infrastructure
modules/apps/frontend-js,Frontend JS,Frontend Infrastructure
modules/apps/frontend-taglib,Frontend Taglib,Frontend Infrastructure
modules/apps/frontend-theme,Liferay Themes,Platform Experience
modules/apps/frontend-token,Style Books,Platform Experience
modules/apps/glowroot,Glow Root,Core Infrastructure
modules/apps/gogo-shell,Gogo Shell,Core Infrastructure
modules/apps/google-places,Forms,Content Management
modules/apps/headless,Headless,Headless
modules/apps/iframe,IFrame Portlet,Page Management
modules/apps/image,Documents and Media,Content Management
modules/apps/imageio-plugins,Portal Services,Content Management
modules/apps/image-uploader,,Content Management
modules/apps/info,Info Framework,Page Management
modules/apps/invitation,Invite Members,Content Management
modules/apps/ip-geocoder,Analytics Cloud,Content Management
modules/apps/item-selector,Item Selector,Content Management
modules/apps/journal,Web Content,Content Management
modules/apps/json-storage,Portal Services,Content Management
modules/apps/knowledge-base,Knowledge Base,Content Management
modules/apps/layout,Content Pages,Page Management
modules/apps/learn,Setup Wizard,NoMappedTeam
modules/apps/license-manager,License,Core Infrastructure
modules/apps/list-type,Object,Business Process Management
modules/apps/locked-items,Knowledge Base,Content Management
modules/apps/login,Login,Application Security
modules/apps/mail,Portal Services,Content Management
modules/apps/map,Frontend Other,Frontend Infrastructure
modules/apps/marketplace,Marketplace,Marketplace
modules/apps/mcp,,Content Management
modules/apps/mentions,Mentions,Content Management
modules/apps/message-boards,Message Boards,Content Management
modules/apps/microblogs,Microblogs,Content Management
modules/apps/microsoft-translator,Translations Management,Content Management
modules/apps/monitoring,Monitoring,Core Infrastructure
modules/apps/my-subscriptions,My Subscriptions Widget,Content Management
modules/apps/nested-portlets,Nested Portlets Widget,Page Management
modules/apps/normalizer,Portal Services,Core Infrastructure
modules/apps/notification,Notifications Framework,Business Process Management
modules/apps/notifications,Notifications,Content Management
modules/apps/oauth2-provider,OAuth 2,Application Security
modules/apps/oauth-client,OAuth 2,Application Security
modules/apps/object,Objects,Business Process Management
modules/apps/on-demand-admin,On Demand Admin,Commerce
modules/apps/organizations,Users and Organizations,Commerce
modules/apps/password-policies-admin,Password Policies,Application Security
modules/apps/password-policy,Password Policies,Application Security
modules/apps/plugins-admin,Components Admin,Core Infrastructure
modules/apps/portal,Portal Services,Core Infrastructure
modules/apps/portal-background-task,Portal Services,Core Infrastructure
modules/apps/portal-cache,Portal Services,Core Infrastructure
modules/apps/portal-configuration,Portal Configuration,Core Infrastructure
modules/apps/portal-crypto-hash,Password,Application Security
modules/apps/portal-instances,Virtual Instances,Database Infrastructure
modules/apps/portal-language,Language Override,Platform Experience
modules/apps/portal-lock,Portal Services,Core Infrastructure
modules/apps/portal-model-relationship,Staging,Business Process Management
modules/apps/portal-odata,Headless Batch Engine API,Core Infrastructure
modules/apps/portal-osgi-debug,Portal Services,Core Infrastructure
modules/apps/portal-portlet-bridge,Portal Services,Core Infrastructure
modules/apps/portal-relationship,Portal Services,Core Infrastructure
modules/apps/portal-remote,Web Services,Core Infrastructure
modules/apps/portal-reports-engine,Reports,Business Process Management
modules/apps/portal-rules-engine,Rules,Business Process Management
modules/apps/portal-scheduler,Scheduler,Core Infrastructure
modules/apps/portal-scripting,Server Administration,Core Infrastructure
modules/apps/portal-search,Web Search,Search
modules/apps/portal-search-elasticsearch7,Search Infrastructure > Elasticsearch Connector,Search
modules/apps/portal-search-elasticsearch8,Search Infrastructure > Elasticsearch Connector,Search
modules/apps/portal-search-opensearch2,Search Infrastructure > OpenSearch Connector,Search
modules/apps/portal-search-solr8,Search Infrastructure > Solr Connector,Search
modules/apps/portal-security,Security,Application Security
modules/apps/portal-security-audit,Audit,Application Security
modules/apps/portal-security-sso,Security,Application Security
modules/apps/portal-settings,Login,Application Security
modules/apps/portal-store,Document Library Stores,Core Infrastructure
modules/apps/portal-template,Templates Engine,Core Infrastructure
modules/apps/portal-transaction,Portal Services,Core Infrastructure
modules/apps/portal-url-builder,Frontend Other,Frontend Infrastructure
modules/apps/portal-validation,Staging,Core Infrastructure
modules/apps/portal-vulcan,REST Infrastructure,Headless
modules/apps/portal-workflow,Workflow,Business Process Management
modules/apps/portlet,Portal Services,Page Management
modules/apps/portlet-configuration,Widget Configuration,Page Management
modules/apps/portlet-dependency-factory,Portal Services,Page Management
modules/apps/portlet-display-template,Widget Page Templates,Page Management
modules/apps/portlet-preferences,Portal Services,Page Management
modules/apps/product-analytics,Product Analytics,Analytics Cloud
modules/apps/product-navigation,Control Menu,Platform Experience
modules/apps/push-notifications,Notifications,Content Management
modules/apps/questions,Questions,Content Management
modules/apps/ratings,Ratings,Content Management
modules/apps/reading-time,Blogs,Content Management
modules/apps/redirect,URL Redirections,Site Management
modules/apps/repository,Documents and Media,Content Management
modules/apps/roles,Roles,Commerce
modules/apps/rss,RSS Publisher Widget,Content Management
modules/apps/sanitizer,AntiSamy,Core Infrastructure
modules/apps/saved-content,Documents and Media,Content Management
modules/apps/segments,Segmentation,Analytics Cloud
modules/apps/server,Server Administration,Core Infrastructure
modules/apps/service-component,Portal Services,Core Infrastructure
modules/apps/shared-dependencies,Portal Services,Core Infrastructure
modules/apps/sharing,Asset Sharing,Site Management
modules/apps/site,Sites Administration,Site Management
modules/apps/site-initializer,Site Management > Site Initializer,Site Management
modules/apps/site-navigation,Navigation Menus,Site Management
modules/apps/social,Social Bookmarks,Content Management
modules/apps/staging,Staging,Headless
modules/apps/static,File Install,Core Infrastructure
modules/apps/style-book,Style Books,Platform Experience
modules/apps/subscription,My Subscriptions Widget,Content Management
modules/apps/template,Templates,Page Management
modules/apps/text-localizer,Users and Organizations,Content Management
modules/apps/translation,Translations Management,Content Management
modules/apps/trash,Recycle Bin,Content Management
modules/apps/upload,Item Selector,Content Management
modules/apps/user,Users and Organizations,Commerce
modules/apps/user-associated-data,Personal Data,Commerce
modules/apps/user-groups-admin,User Groups,Commerce
modules/apps/users-admin,Users and Organizations,Commerce
modules/apps/view-count,Util,Core Infrastructure
modules/apps/website,Personal Data,Commerce
modules/apps/websocket,Portal Services,Core Infrastructure
modules/apps/wiki,Wiki,Content Management
modules/apps/words,,Content Management
modules/apps/xstream,Portal Services,Content Management
modules/dxp/apps/ai-hub,AI Hub,Content Management
modules/dxp/apps/akismet,Akismet,Content Management
modules/dxp/apps/analytics,Analytics Cloud,Analytics Cloud
modules/dxp/apps/antivirus,Antivirus,Application Security
modules/dxp/apps/commerce,Commerce,Commerce
modules/dxp/apps/commerce-avalara,Commerce,Commerce
modules/dxp/apps/commerce-demo-pack,Commerce,Commerce
modules/dxp/apps/commerce-punchout,Commerce,Commerce
modules/dxp/apps/digital-sales-room,Commerce,Commerce
modules/dxp/apps/document-library-opener,External Document Repositories,Content Management
modules/dxp/apps/enterprise-product-notification,User Notifications,Content Management
modules/dxp/apps/frontend-theme,Liferay Themes,Platform Experience
modules/dxp/apps/multi-factor-authentication,Multi Factor Authentication,Application Security
modules/dxp/apps/osb,Analytics Cloud,NoMappedTeam
modules/dxp/apps/portal,Portal Services,Core Infrastructure
modules/dxp/apps/portal-reports-engine-console,Reports,Business Process Management
modules/dxp/apps/portal-rules-engine-drools,Rules,Business Process Management
modules/dxp/apps/portal-search-elasticsearch-cross-cluster-replication,Search Infrastructure > Elasticsearch Connector,Search
modules/dxp/apps/portal-search-elasticsearch-monitoring,Search Infrastructure > Elasticsearch Connector,Search
modules/dxp/apps/portal-search-learning-to-rank,Search Infrastructure > Elasticsearch Connector,Search
modules/dxp/apps/portal-search-similar-results,Search Infrastructure > Elasticsearch Connector,Search
modules/dxp/apps/portal-search-tuning,Search Infrastructure > Elasticsearch Connector,Search
modules/dxp/apps/portal-security-audit,Audit,Application Security
modules/dxp/apps/portal-workflow,Workflow Metrics,Business Process Management
modules/dxp/apps/portal-workflow-kaleo-forms,Kaleo Forms Admin,Business Process Management
modules/dxp/apps/salesforce-connector,Commerce,Commerce
modules/dxp/apps/saml,SAML,Application Security
modules/dxp/apps/scim,SCIM,Application Security
modules/dxp/apps/search-experiences,Search Blueprints,Search
modules/dxp/apps/segments,Segmentation,Analytics Cloud
modules/dxp/apps/sharepoint-rest,External Document Repositories,Content Management
modules/dxp/apps/sharepoint-soap,External Document Repositories,Content Management
modules/apps/commerce,Shopping Experience,Commerce
modules/apps/commerce,Order Management,Commerce
modules/apps/commerce,Product Information Management,Commerce
modules/apps/search,Search Infrastructure,Search
modules/apps/user,User Management,Commerce
portal-kernel/src/com,Core Infrastructure,Core Infrastructure
modules/core/petra,Core Infrastructure,Core Infrastructure
portal-impl/src/com,Core Infrastructure,Core Infrastructure
modules/core/portal-bootstrap,Core Infrastructure,Core Infrastructure
util-taglib/src/com,Frontend Taglib,Frontend Infrastructure
modules/apps/frontend-view-state,Frontend Other,Frontend Infrastructure
,Fragments Toolkit,Page Management
,Content Publishing,Site Management
,Clay,Frontend Infrastructure
,Pages,Page Management
,Segments Editor,Analytics Cloud
,REST infrastructure (vulcan),Headless
,SEO Tools,Site Management
,Content Display Widgets,Content Management
,Site Management,Site Management
,Headless Admin User API,Headless
,Control Panel Framework,Site Management
,Out of the box Fragments,Page Management
,Content Page Experience Personalization,Page Management
,LES,Search
,Documents & Media,Content Management
,Utility Pages,Page Management
,Page Templates,Page Management
,Accessibility Framework,Platform Experience
,DXP Components Web,Page Management
,Product Menu,Page Management
,REST Builder,Headless
,Tags,Frontend Infrastructure
,Headless Delivery API,Headless
,Categories,Content Management
,Announcements & Alerts widgets,Content Management
,Document Repository Framework,Content Management
,Search Tuning,Search
,JS APIs and Utilities,Headless
,Database Partitioning,Database Infrastructure
,DXP Editors,Frontend Infrastructure
,Data Integration,Database Infrastructure
,~[Archived]Analytics Cloud,Analytics Cloud
,Accessibility Checker Tool,Platform Experience
,Database Upgrade Tool,Database Infrastructure
,Collections,Page Management
,Portal Configuration ,Core Infrastructure
,Squad:Infrastructure,Core Infrastructure
,Headless Site API,Headless
,~ [Archived] Frontend Infrastructure,Frontend Infrastructure
,Database Upgrade Framework,Database Infrastructure
,Dev Tools,Dev Tools
,Performance,Core Infrastructure
,Liferay Faces,Core Infrastructure
,Upgrade Report,Database Infrastructure
,Frontend Infra,Frontend Infrastructure
,Tag Libraries,Frontend Infrastructure
,Headless Admin Site API,Headless
,Environments,Core Infrastructure
,API Builder,Headless
,Fault Tolerance,Core Infrastructure
,Activities Widget,Page Management
,Asset Sharing Framework,Content Management
,App Management,Site Management
,Search Container,Search
,Headless Admin Taxonomy API,Headless
,Information Templates,Page Management
,Comments,Content Management
,Database Access,Database Infrastructure
,Minifier,Frontend Infrastructure
,Business Productivity,Business Process Management
,Mail,Core Infrastructure
,SPA Engine (Senna),Page Management
,Template Code Editor,Page Management
,Image Editor,Content Management
,Headless Admin Content API,Headless
,Headless Discovery Application,Headless
,Knowledge Base Widget,Content Management
,CMS,Content Management
,AI,Content Management
,Item Selector (React)(CMS),Content Management
,Upgrade Source Formatter,Database Infrastructure
,Tasks Portlet,Page Management
,Upgrade Logging,Database Infrastructure
,Applications Menu,Site Management
,Media Gallery widget,Content Management
,Page Flags widget,Page Management
,Social Activity,Content Management
,~[Archived] Application Security,Application Security
,~ [Archived] Core Infrastructure,Core Infrastructure
,JS Toolkit,Frontend Infrastructure
,Frontend Token Infrastructure,Frontend Infrastructure
,Application Display Templates,Page Management
,~ [Archived] Search Infrastructure,Search
,My Account,Commerce
,Alloy UI,Frontend Infrastructure
,CMS dashboard,Content Management
,Headless Site Pages API,Headless
,JS Portlet Extender,Frontend Infrastructure
,Simulation Menu,Page Management
,WebDAV access,Core Infrastructure
,Invite Members widget,Commerce
